City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Cloverdale city, California",8621,8650,8665,8716,8754,8774,8781,8741,8844,8656
"Clovis city, California",96386,97557,98588,99631,101904,103828,106353,109316,111824,114584
"Coachella city, California",40984,41878,42571,42960,43885,44344,44785,45280,45751,45743
"Coalinga city, California",18330,18303,17055,16974,16647,16755,16827,16988,16774,17179
"Colfax city, California",1957,1975,1987,1996,2000,1994,1997,1999,1996,2002
"Colma town, California",1435,1451,1470,1484,1497,1505,1500,1493,1492,1489
"Colton city, California",52261,52712,52945,53105,53706,54291,54507,54680,54637,54824
"Colusa city, California",6229,6190,6190,6171,6126,6105,6156,6146,6094,6060
"Commerce city, California",12840,12887,12929,12960,12964,12963,12922,12862,12762,12661
"Compton city, California",96442,96933,97350,97600,97634,97639,97281,97047,96348,95605
"Concord city, California",122505,123518,124678,125888,127128,128303,129036,129592,129743,129295
"Corcoran city, California",24467,24133,23694,23350,22834,22516,22716,21820,21720,21960
"Corning city, California",7676,7643,7612,7550,7516,7531,7546,7582,7564,7710
"Corona city, California",153052,154693,157405,158763,160419,163154,166067,167310,168476,169868
"Coronado city, California",23961,23336,23194,23347,23549,23682,25084,24323,21336,23731
"Corte Madera town, California",9273,9350,9386,9469,9908,9899,9864,9820,9803,9751
"Costa Mesa city, California",110221,111151,111790,112244,112485,112808,112933,113665,113302,113003
"Cotati city, California",7273,7303,7320,7375,7411,7427,7443,7451,7584,7410
"Covina city, California",47785,47963,48211,48350,48538,48569,48393,48178,47820,47450
"Crescent City city, California",7596,7517,7393,7169,6780,6767,6644,6386,6805,6787
"Cudahy city, California",23809,23901,23987,24050,24070,24111,24039,23934,23755,23569
"Culver City city, California",38888,39024,39208,39312,39329,39369,39231,39024,39059,39185
"Cupertino city, California",58689,59172,59769,60198,60592,60519,60900,60588,60004,59276
"Cypress city, California",47957,48399,48677,48971,48936,48994,48813,48835,48826,49006
"Daly City city, California",101262,102460,103915,104980,105887,106538,106882,106733,106869,106280
"Dana Point city, California",33336,33634,33830,33962,33927,33968,33931,33768,33629,33577
"Danville town, California",41987,42379,42801,43262,43817,44311,44715,44727,44683,44510
"Davis city, California",65584,65657,65781,66213,66545,67367,68028,68802,69220,69413
"Delano city, California",53130,53620,52403,52331,52447,52495,52568,52877,52921,53573
"Del Mar city, California",4173,4202,4236,4273,4299,4330,4348,4340,4335,4319
"Del Rey Oaks city, California",1628,1640,1655,1664,1670,1674,1679,1672,1662,1654
"Desert Hot Springs city, California",27172,27422,27628,27817,28008,28145,28397,28648,28815,28878
"Diamond Bar city, California",55588,55854,56087,56233,56279,56429,56581,56334,56106,55720
"Dinuba city, California",21570,22606,22809,23233,23528,23554,23875,23903,24236,24461
"Dixon city, California",18431,18490,18619,18931,19098,19299,19766,20138,20478,20698
"Dorris city, California",941,930,915,902,900,903,902,903,898,897
"Dos Palos city, California",4962,5003,5017,5026,5046,5084,5217,5407,5502,5527
"Downey city, California",111785,112215,112582,112858,113091,113260,112896,112426,111915,111126
"Duarte city, California",21348,21425,21601,21646,21808,21809,21725,21624,21454,21271
"Dublin city, California",45903,46804,48700,52027,54554,57545,59579,60797,63423,64826
"Dunsmuir city, California",1640,1619,1595,1572,1567,1571,1571,1572,1568,1564
"East Palo Alto city, California",28222,28551,28926,29212,29482,29661,29811,29671,29486,29314
"Eastvale city, California",54054,54966,55627,56247,57386,59231,60670,62309,63815,64157
"El Cajon city, California",99823,100795,101537,102303,102789,103230,103527,103468,103041,102708
"El Centro city, California",42678,42977,43023,43316,43496,43655,44028,44114,44089,44079
"El Cerrito city, California",23644,23845,24074,24323,24551,24902,25458,25468,25607,25508
"Elk Grove city, California",153375,155615,158083,160251,162701,165997,169156,171425,172603,174775
"El Monte city, California",113677,114101,114843,115414,115627,115824,115550,115514,115308,115487
"El Paso de Robles (Paso Robles) city, California",29786,30076,30399,30718,31108,31346,31722,31772,32133,32153
"El Segundo city, California",16656,16719,16796,16855,16900,16891,16835,16752,16663,16610
"Emeryville city, California",10125,10222,10358,10878,11311,11765,11792,11751,12109,12086
"Encinitas city, California",59684,60264,60890,61555,62023,62590,62921,62884,62750,62709
"Escalon city, California",7135,7190,7215,7216,7343,7474,7501,7550,7566,7574
"Escondido city, California",144440,146099,147570,148794,149708,150683,151204,151220,151793,151625
"Etna city, California",736,730,724,714,712,711,713,716,717,718
"Eureka city, California",27201,27161,26931,26895,26874,26902,27153,27126,26968,26710
"Exeter city, California",10341,10375,10420,10458,10490,10486,10477,10502,10508,10485
"Fairfax town, California",7450,7512,7545,7609,7631,7624,7602,7568,7560,7522
"Fairfield city, California",105598,106245,107497,109137,110727,112365,114456,115817,116678,117133
"Farmersville city, California",10585,10594,10639,10680,10711,10710,10702,10726,10729,10703
"Ferndale city, California",1374,1379,1367,1362,1363,1364,1371,1372,1363,1352
"Fillmore city, California",15013,15076,15117,15226,15324,15444,15557,15703,15742,15870
"Firebaugh city, California",7601,7764,7894,8053,8259,8276,8290,8294,8315,8296
"Folsom city, California",72110,72542,73042,72782,74950,75935,76999,77798,78842,81328
