City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Rio Dell city, California",3372,3394,3364,3365,3364,3368,3399,3399,3381,3349
"Rio Vista city, California",7383,7443,7549,7712,8005,8280,8598,8952,9206,9718
"Ripon city, California",14453,14603,14724,14803,14998,15185,15551,15754,16018,16386
"Riverbank city, California",22762,23102,23225,23400,23606,23879,24271,24585,24700,24881
"Riverside city, California",305466,309472,312323,315510,317702,320483,323684,326882,329654,331360
"Rocklin city, California",57474,58426,58962,59613,60060,60908,62605,64654,67065,68823
"Rohnert Park city, California",40855,40990,41070,41325,42104,42293,42570,42697,43676,43291
"Rolling Hills city, California",1860,1867,1878,1885,1884,1882,1880,1871,1861,1845
"Rolling Hills Estates city, California",8062,8098,8145,8183,8193,8211,8203,8176,8114,8058
"Rosemead city, California",53795,54022,54215,54398,54429,54440,54332,54221,54226,54058
"Roseville city, California",119916,122725,124432,126769,128397,130018,132708,135077,138953,141500
"Ross town, California",2423,2442,2452,2473,2485,2482,2472,2464,2457,2451
"Sacramento city, California",467286,470902,474226,478214,482762,488133,494127,500777,507737,513624
"St. Helena city, California",5824,5859,5882,5921,5946,6026,6103,6152,6142,6102
"Salinas city, California",150887,152412,153815,154958,155717,156244,156830,156463,155647,155465
"San Anselmo town, California",12320,12418,12472,12586,12623,12608,12572,12523,12522,12476
"San Bernardino city, California",210637,212159,213161,213789,214222,215325,216036,216902,216323,215784
"San Bruno city, California",41145,41558,42126,42593,42992,43243,43196,43207,43043,42807
"San Buenaventura (Ventura) city, California",107435,108306,109002,109339,109535,109668,109893,110093,110731,109106
"San Carlos city, California",28417,28750,29122,29426,29723,29901,29894,30393,30331,30185
"San Clemente city, California",63605,64255,64612,64845,64947,65142,65185,64973,64699,64558
"Sand City city, California",335,337,340,343,377,378,381,384,396,399
"San Diego city, California",1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851
"San Dimas city, California",33377,33509,33637,33745,34319,34344,34236,34128,33881,33621
"San Fernando city, California",23643,23742,23777,24088,24399,24708,24630,24562,24437,24322
"San Francisco city, California",805505,815650,828876,839572,850750,863010,871512,878040,880696,881549
"San Gabriel city, California",39647,39810,39944,40033,40053,40089,40276,40262,40197,39899
"Sanger city, California",24298,24444,24504,24575,24661,24802,24944,25065,25256,25339
"San Jacinto city, California",44417,44953,45364,45829,46231,46645,47319,48088,48734,49215
"San Joaquin city, California",3995,3993,3996,4005,4004,4013,4020,4026,4022,4021
"San Jose city, California",954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795
"San Juan Bautista city, California",1850,1861,1879,1897,1906,1926,1956,1964,1954,2104
"San Juan Capistrano city, California",34483,34862,35096,35525,35779,35935,35941,35882,35902,35911
"San Leandro city, California",85119,85921,86976,88074,89195,90538,90706,90418,89713,88815
"San Luis Obispo city, California",45156,45346,45728,46236,46478,47016,47313,47344,47300,47459
"San Marcos city, California",83926,85001,86816,89423,92372,93199,94932,95614,96480,96664
"San Marino city, California",13104,13155,13192,13235,13263,13308,13291,13244,13137,13048
"San Mateo city, California",97383,98518,99816,101323,102695,103509,104357,104389,104885,104430
"San Pablo city, California",29474,29517,29800,30083,30365,30724,30999,31077,31100,30990
"San Rafael city, California",57797,58232,58448,58995,59130,59074,58918,58801,58704,58440
"San Ramon city, California",71585,72174,72850,73560,74329,75138,75703,75795,75851,75995
"Santa Ana city, California",325327,328227,330550,333716,333431,333417,333765,332627,331912,332318
"Santa Barbara city, California",88468,88605,89285,90082,90815,91275,91518,91517,91203,91364
"Santa Clara city, California",116761,117836,119337,120486,121967,126024,126429,126709,129085,130365
"Santa Clarita city, California",208822,209843,210672,211376,212283,213184,213526,213734,213549,212979
"Santa Cruz city, California",60578,61434,61954,62731,63172,64082,64396,64815,64643,64608
"Santa Fe Springs city, California",16255,16493,16711,16983,17359,17859,17955,17866,17774,17630
"Santa Maria city, California",99689,100293,101116,102057,103021,104462,105811,106298,107218,107263
"Santa Monica city, California",89759,90476,91327,92050,92087,92422,92176,91747,91106,90401
"Santa Paula city, California",29325,29754,29919,30099,30348,30336,30243,30143,29930,29806
"Santa Rosa city, California",175238,176243,177093,178684,180585,181485,181909,181596,176750,176753
"Santee city, California",53640,54523,55381,56151,56828,57471,57678,57825,57944,58081
"Saratoga city, California",30078,30353,30685,30957,31008,30977,30945,30818,30535,30153
"Sausalito city, California",6959,7018,7047,7115,7159,7157,7136,7108,7101,7068
"Scotts Valley city, California",11581,11621,11653,11743,11828,11907,11910,11891,11817,11757
"Seal Beach city, California",24109,24320,24456,24537,24506,24475,24400,24209,24050,23896
"Seaside city, California",33094,33329,33731,33929,33945,34255,34198,33872,33782,33748
"Sebastopol city, California",7474,7537,7584,7656,7706,7731,7742,7716,7833,7674
"Selma city, California",23459,23570,23886,24259,24325,24440,24683,24695,24758,24825
"Shafter city, California",17160,17440,17194,17273,17612,18367,18985,19472,19998,20401
"Shasta Lake city, California",10145,10101,10097,10108,10112,10094,10107,10165,10236,10413
"Sierra Madre city, California",10917,10959,10995,11028,11056,11065,11022,10968,10879,10793
"Signal Hill city, California",11018,11058,11142,11288,11420,11466,11602,11551,11516,11421
"Simi Valley city, California",124463,125019,125274,125868,126239,126123,125958,126107,125438,125613
"Solana Beach city, California",12898,13013,13112,13219,13283,13374,13400,13377,13339,13296
"Soledad city, California",26027,26391,26459,25772,25239,24882,25594,26154,25968,25999
"Solvang city, California",5236,5259,5306,5355,5468,5680,5749,5865,5861,5838
"Sonoma city, California",10668,10707,10805,10872,10968,11009,11047,11070,11227,11024
"Sonora city, California",4899,4867,4819,4814,4807,4812,4820,4835,4859,4864
"South El Monte city, California",20100,20187,20261,20341,20351,20688,20818,20865,20729,20574
"South Gate city, California",94434,94591,94577,94674,94741,95597,95245,94848,94135,93444
"South Lake Tahoe city, California",21410,21376,21292,21360,21512,21722,21761,21943,22052,22197
"South Pasadena city, California",25607,25701,25798,25872,25897,25914,25826,25707,25530,25329
"South San Francisco city, California",63701,64448,65581,66237,66813,67221,67220,67180,67617,67789
"Stanton city, California",37900,38231,38374,38550,38504,38655,38627,38382,38172,38139
"Stockton city, California",292888,295363,297045,297493,301062,304550,307158,310143,311628,312697
"Suisun City city, California",28098,28267,28463,28670,29064,29265,29362,29477,29660,29663
"Sunnyvale city, California",140462,143805,146436,148055,149769,151630,153544,153217,152807,152703
"Susanville city, California",17725,17273,16606,15519,15505,15209,14786,15239,15102,15010
"Sutter Creek city, California",2519,2501,2479,2469,2480,2503,2533,2572,2614,2622
"Taft city, California",9285,9285,8922,8926,8887,9466,9357,9386,9381,9272
"Tehachapi city, California",14367,14332,13827,13289,13227,13004,12471,12565,12399,13011
"Tehama city, California",419,418,417,415,414,417,418,421,422,373
"Temecula city, California",100703,102640,104295,106073,108671,111140,112402,113987,114614,114761
"Temple City city, California",35556,35721,35860,35910,35922,36059,36250,36152,36008,35811
"Thousand Oaks city, California",126732,127325,127657,128224,128636,128632,128480,128229,127279,126813
"Tiburon town, California",8957,9033,9072,9161,9194,9190,9158,9126,9121,9084
"Torrance city, California",145154,145769,146257,146671,146845,146950,146416,145781,144706,143592
"Tracy city, California",83620,84302,84727,84872,85713,86953,89181,90701,91818,94740
"Trinidad city, California",369,368,363,361,358,357,361,361,360,355
"Truckee town, California",16167,16151,16083,16085,16238,16266,16350,16482,16537,16735
"Tulare city, California",59432,59789,60625,60905,61444,61915,62538,63486,64274,65496
"Tulelake city, California",1009,1003,993,985,986,987,986,986,982,978
"Turlock city, California",68848,69251,69719,70261,70868,71776,72578,73241,73396,73631
"Tustin city, California",75472,76227,77575,78122,80138,80088,80245,80121,79578,79348
"Twentynine Palms city, California",25101,25362,25607,25686,25751,25871,25941,26478,26371,26073
"Ukiah city, California",16024,15919,15909,15854,15873,15831,15828,15956,16151,15995
"Union City city, California",69630,70597,71642,72552,73481,74343,75465,75227,74560,74107
"Upland city, California",73884,74465,74933,75188,75542,75970,76374,76778,76833,77140
"Vacaville city, California",92557,93225,93660,94023,95394,96224,97994,99604,99949,100670
"Vallejo city, California",116137,116709,117599,118550,119602,120477,120949,121546,121677,121692
"Vernon city, California",112,112,113,113,113,113,113,112,111,110
"Victorville city, California",116278,117891,119831,120697,121087,121442,121725,121988,121952,122385
"Villa Park city, California",5830,5882,5913,5940,5933,5928,5907,5867,5823,5790
"Visalia city, California",124869,125649,126420,127309,128482,129369,130662,132388,133428,134605
"Vista city, California",93401,94355,95307,96211,96999,99623,100746,100740,100784,101638
"Walnut city, California",29203,29471,29842,29919,29940,29990,29925,30015,29910,29685
"Walnut Creek city, California",64314,64827,65529,66812,67500,68747,69235,69645,69843,70166
"Wasco city, California",25683,25845,25471,25909,26201,26161,26322,26855,27915,28710
"Waterford city, California",8468,8498,8541,8579,8679,8744,8823,8898,8936,8962
"Watsonville city, California",51278,51593,51887,52412,52959,53528,53774,53919,53875,53856
"Weed city, California",2981,2980,2938,2884,2712,2542,2643,2705,2695,2725
"West Covina city, California",106123,106721,107082,107348,107447,107540,107437,106942,105964,105101
"West Hollywood city, California",34359,34501,34631,35101,35475,35856,36510,36796,36687,36475
"Westlake Village city, California",8305,8350,8401,8446,8452,8457,8428,8392,8327,8217
"Westminster city, California",89772,90710,91223,91624,91555,91582,91510,91176,90742,90643
"Westmorland city, California",2234,2253,2255,2256,2263,2258,2267,2272,2270,2254
"West Sacramento city, California",48842,49106,49528,49978,51637,52431,52933,53304,53601,53519
"Wheatland city, California",3514,3518,3524,3508,3508,3728,3763,3819,3869,3873
"Whittier city, California",85319,85633,85968,86326,86482,86705,86600,86326,85791,85098
"Wildomar city, California",32416,32908,33230,33639,35111,35317,35920,36697,37086,37229
"Williams city, California",5110,5105,5107,5125,5098,5106,5145,5265,5242,5408
"Willits city, California",4922,4881,4874,4859,4862,4867,4885,4898,4925,4890
"Willows city, California",6148,6138,6084,6064,6064,6011,6018,6005,6004,6072
"Windsor town, California",26811,26882,26994,27157,27280,27373,27493,27431,27769,27128
"Winters city, California",6621,6832,6868,6894,6922,7006,7139,7251,7277,7315
"Woodlake city, California",7317,7327,7355,7600,7629,7625,7614,7629,7621,7658
"Woodland city, California",55615,55786,56272,56713,57328,58385,59098,59923,60474,60548
"Woodside town, California",5291,5353,5412,5471,5521,5555,5570,5547,5504,5458
"Yorba Linda city, California",64390,65610,66282,66803,67359,67527,68033,67895,67589,67644
"Yountville city, California",2927,2938,2944,2954,2971,2992,2992,2977,2982,2966
"Yreka city, California",7789,7743,7646,7546,7533,7539,7545,7557,7523,7518
"Yuba City city, California",65631,65364,65283,65538,65757,66134,66218,66564,66695,67010
"Yucaipa city, California",51474,51954,52280,52546,52730,52981,53186,53496,53557,53921
"Yucca Valley town, California",20695,20867,20991,21044,21304,21431,21538,21650,21691,21777
